Epoch,Learning Rate,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation pAUC
1,0.0001,0.22923758252555335,0.9222962856292725,0.15477899547952872,0.9545729756355286,0.8333333134651184,0.06329113990068436,0.11764705926179886,0.09640706026347148
2,0.0001,0.1420623834564346,0.9544077515602112,0.13949263740617496,0.9563900828361511,0.7333333492279053,0.13924050331115723,0.23404255509376526,0.12553225754501235
3,0.0001,0.1291096299337808,0.9589518308639526,0.13012192770838737,0.9545729756355286,0.53125,0.4303797483444214,0.4755244851112366,0.14235513898283245
4,0.0001,0.1234397376406092,0.9580430388450623,0.14076310292316171,0.9624469876289368,0.774193525314331,0.3037974536418915,0.4363636374473572,0.11577447096337806
5,0.0001,0.11094232036052766,0.9625871181488037,0.14130014274269342,0.960629940032959,0.6590909361839294,0.3670886158943176,0.47154471278190613,0.11703063097883849
6,1e-05,0.11145688059789259,0.9654650092124939,0.13145834405440837,0.9600242376327515,0.6326530575752258,0.39240506291389465,0.484375,0.14864882275260086
7,1e-05,0.10367470294583571,0.9672826528549194,0.1353614260800756,0.959418535232544,0.6499999761581421,0.3291139304637909,0.43697479367256165,0.14379811253905364
8,1e-05,0.10292106482947182,0.9680399894714355,0.13082486991501915,0.9630526900291443,0.75,0.3417721390724182,0.469565212726593,0.13674026475988013
9,1e-05,0.10560174758663032,0.9678885340690613,0.1442281710019765,0.9618412852287292,0.7105262875556946,0.3417721390724182,0.4615384638309479,0.11514639095564785
10,1e-05,0.10299404665652284,0.967737078666687,0.13139316459329656,0.9618412852287292,0.699999988079071,0.3544303774833679,0.47058823704719543,0.13769446323316262
11,1.0000000000000002e-06,0.09752607871868292,0.9689488410949707,0.1336897436905509,0.9612356424331665,0.7419354915618896,0.29113924503326416,0.41818180680274963,0.12779495603439942
12,1.0000000000000002e-06,0.09896471207525023,0.9684944152832031,0.1353095228282305,0.9630526900291443,0.7647058963775635,0.3291139304637909,0.4601770043373108,0.14522498147969207
13,1.0000000000000002e-06,0.09604218375086244,0.9692517518997192,0.12630153662757948,0.9630526900291443,0.7045454382896423,0.39240506291389465,0.5040650367736816,0.14914162398943534
14,1.0000000000000002e-06,0.10246415716564454,0.9662224054336548,0.12443243581443451,0.9636583924293518,0.7317073345184326,0.37974682450294495,0.5,0.1454601088672013
15,1.0000000000000002e-06,0.09815307164335273,0.9703120589256287,0.13619482182772258,0.9642640948295593,0.8333333134651184,0.3164556920528412,0.4587155878543854,0.1451927722485264
