Epoch,Learning Rate,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation pAUC
1,0.0001,0.22493785419973775,0.9256286025047302,0.15849195349101836,0.9515445232391357,0.48148149251937866,0.16455696523189545,0.24528302252292633,0.0780767868070989
2,7.500000000000001e-05,0.13428717969516338,0.9556195139884949,0.13733704130236918,0.953967273235321,0.5405405163764954,0.2531645596027374,0.3448275923728943,0.10829870840983022
3,5.6250000000000005e-05,0.1242682294704128,0.9577401280403137,0.1348024892549102,0.9600242376327515,0.7241379022598267,0.26582279801368713,0.3888888955116272,0.11059522659194121
4,4.21875e-05,0.11654357712013998,0.9622842073440552,0.13321575046015474,0.9630526900291443,0.7647058963775635,0.3291139304637909,0.4601770043373108,0.10314845234644246
5,3.1640625e-05,0.10625496222345149,0.966373860836029,0.1322810950044256,0.9630526900291443,0.75,0.3417721390724182,0.469565212726593,0.0991996006055335
6,2.373046875e-05,0.1033205589895915,0.9650106430053711,0.1396001590988957,0.9612356424331665,0.7777777910232544,0.26582279801368713,0.3962264060974121,0.10707475762553545
7,1.7797851562499998e-05,0.10788773216649099,0.9641017913818359,0.15529303209712872,0.9588128328323364,0.6896551847457886,0.2531645596027374,0.37037035822868347,0.09433922762263662
8,1.3348388671874999e-05,0.09852685531205385,0.9668282866477966,0.14379100115575755,0.959418535232544,0.699999988079071,0.26582279801368713,0.38532111048698425,0.10499404129223433
9,1.0011291503906249e-05,0.10160466105843656,0.9669797420501709,0.13784978107119408,0.9624469876289368,0.707317054271698,0.3670886158943176,0.4833333194255829,0.11936418977679
10,7.508468627929686e-06,0.09765149400780958,0.9674341082572937,0.1421309479046613,0.960629940032959,0.6944444179534912,0.3164556920528412,0.43478259444236755,0.10167649048217217
11,5.631351470947265e-06,0.0940881788501165,0.9694032669067383,0.1285200228359407,0.9648697972297668,0.7234042286872864,0.4303797483444214,0.5396825671195984,0.11975553193545266
12,4.223513603210449e-06,0.09027925236285597,0.9698576331138611,0.14077555951483262,0.9618412852287292,0.7352941036224365,0.3164556920528412,0.44247788190841675,0.1098544142751312
13,3.167635202407837e-06,0.09947287343028519,0.967737078666687,0.13667660117901576,0.9636583924293518,0.8064516186714172,0.3164556920528412,0.4545454680919647,0.11644442297162363
14,2.3757264018058777e-06,0.09936429653204258,0.9698576331138611,0.13465113969197354,0.9636583924293518,0.7209302186965942,0.39240506291389465,0.5081967115402222,0.12221631719650848
15,1.7817948013544082e-06,0.09739018384376226,0.9666767716407776,0.1516523269506601,0.9648697972297668,0.8181818127632141,0.3417721390724182,0.4821428656578064,0.11766032144812699
16,1.3363461010158061e-06,0.09671553069554666,0.9694032669067383,0.1414649461109478,0.9648697972297668,0.7837837934494019,0.3670886158943176,0.5,0.11741392082970976
17,1.0022595757618546e-06,0.0954872849892267,0.9681915044784546,0.14580761970808873,0.9636583924293518,0.7435897588729858,0.3670886158943176,0.49152541160583496,0.08728540599735882
18,7.516946818213909e-07,0.09251952354215841,0.9701606035232544,0.1426652754083849,0.9654754400253296,0.7894737124443054,0.37974682450294495,0.5128205418586731,0.11085128997970814
19,5.637710113660432e-07,0.09280746587403658,0.9687973856925964,0.13912562802075767,0.9636583924293518,0.7878788113594055,0.3291139304637909,0.4642857015132904,0.11997616516893736
