Epoch,Learning Rate,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation pAUC
1,0.0001,0.1919156085015927,0.9477431178092957,0.15579758598827398,0.9533615708351135,0.75,0.037974681705236435,0.07228915393352509,0.09973910522755819
2,0.0001,0.13938016317568827,0.9577401280403137,0.1461220796291645,0.9479103684425354,0.42553192377090454,0.2531645596027374,0.3174603283405304,0.12775630495700063
3,0.0001,0.13119097993875614,0.9591033458709717,0.1520187191378612,0.9557843804359436,0.5600000023841858,0.3544303774833679,0.43410852551460266,0.1445630817792379
4,0.0001,0.12486426002269493,0.9610724449157715,0.1798065300905504,0.9497274160385132,0.4523809552192688,0.2405063360929489,0.3140496015548706,0.12795761265178596
5,0.0001,0.12384725164999996,0.9609209299087524,0.18889585754368454,0.9479103684425354,0.447761207818985,0.37974682450294495,0.4109589159488678,0.1374706090765613
6,1e-05,0.1038900397286035,0.9675856232643127,0.14454322286362115,0.9563900828361511,0.5744680762290955,0.3417721390724182,0.4285714328289032,0.1417753728218507
7,1e-05,0.10500432438316085,0.9659194350242615,0.15620529676715916,0.9533615708351135,0.5208333134651184,0.3164556920528412,0.3937007784843445,0.1501803716945276
8,1e-05,0.09900994156599764,0.9686458706855774,0.1648903656930018,0.9557843804359436,0.5625,0.3417721390724182,0.4251968562602997,0.12958739974876793
9,1e-05,0.10103465095927246,0.9684944152832031,0.15001789670294294,0.9557843804359436,0.5652173757553101,0.3291139304637909,0.41600000858306885,0.1565239797726028
10,1e-05,0.10196685229972509,0.9695547223091125,0.14379777441410205,0.9588128328323364,0.6078431606292725,0.39240506291389465,0.4769230782985687,0.1483943698263922
11,1.0000000000000002e-06,0.09358642332071375,0.9706149697303772,0.1639726238253598,0.9569957852363586,0.5833333134651184,0.3544303774833679,0.4409448802471161,0.14292846329758105
12,1.0000000000000002e-06,0.09751437208952679,0.9698576331138611,0.15906399477703068,0.9551786780357361,0.5510203838348389,0.3417721390724182,0.421875,0.15395368312558375
13,1.0000000000000002e-06,0.09357685882683646,0.9689488410949707,0.14504109444813088,0.9563900828361511,0.5853658318519592,0.3037974536418915,0.4000000059604645,0.15777530840338838
14,1.0000000000000002e-06,0.10010187920061467,0.9700090885162354,0.15939157608395013,0.9551786780357361,0.5531914830207825,0.3291139304637909,0.4126984179019928,0.15535639514284788
15,1.0000000000000002e-06,0.09760747194416138,0.9689488410949707,0.15007044464045277,0.9569957852363586,0.5769230723381042,0.37974682450294495,0.4580152630805969,0.14296389345186325
16,1.0000000000000002e-07,0.09672596914567737,0.9704635143280029,0.16080880609269327,0.9588128328323364,0.6037735939025879,0.40506330132484436,0.4848484992980957,0.1314523142332592
17,1.0000000000000002e-07,0.09572875614228528,0.9704635143280029,0.14522973018196914,0.9624469876289368,0.6603773832321167,0.4430379867553711,0.5303030014038086,0.15517602344832027
18,1.0000000000000002e-07,0.0998771419784657,0.9689488410949707,0.15148295045722848,0.9588128328323364,0.6170212626457214,0.3670886158943176,0.460317462682724,0.15279737172673685
