Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation AUCROC
1,0.010632746320962906,0.9986749887466431,0.00847313117980957,0.9988999962806702,0.0,0.0,0.0,0.6804121136665344
2,0.009382674534618855,0.9987749457359314,0.01050776481628418,0.9988999962806702,0.0,0.0,0.0,0.5434341430664062
3,0.009835799324512482,0.9988083243370056,0.008863307619094849,0.9988999962806702,0.0,0.0,0.0,0.44662314653396606
4,0.009521456745266915,0.998824954032898,0.009163584136962891,0.9988999962806702,0.0,0.0,0.0,0.6050018668174744
5,0.009401486945152283,0.9988349676132202,0.008535852003097534,0.9988999962806702,0.0,0.0,0.0,0.6260067820549011
