Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation pAUC
1,0.01239076047539711,0.9985999464988708,0.011907025267140934,0.9988999962806702,0.0,0.0,0.0,0.04270606758343267
2,0.01073029950261116,0.998824954032898,0.008682741048617866,0.9988999962806702,0.0,0.0,0.0,0.04669136049654619
3,0.009720151889324189,0.9988749623298645,0.012900044266789104,0.9988999962806702,0.0,0.0,0.0,0.06375922605775441
4,0.009844826120138168,0.9988749623298645,0.010006744926349042,0.9988999962806702,0.0,0.0,0.0,0.04244141282683677
5,0.010217855781316757,0.9988749623298645,0.008618149846887435,0.9988999962806702,0.0,0.0,0.0,0.05228296580784316
